uic,unit,mcn,maint_act_sts,maint_act_dttm
00246,AIMD NAS NORTH ISLAN,P9AW7UY,M3,2019-04-24 08:39:00
00246,AIMD NAS NORTH ISLAN,P9AW7UX,M3,2019-04-24 08:38:00
00246,AIMD NAS NORTH ISLAN,P9AW7UY,M5,2019-04-29 06:12:59
00246,AIMD NAS NORTH ISLAN,P9AW7UY,IW,2019-11-19 07:00:59
00246,AIMD NAS NORTH ISLAN,P9AW7UY,WS,2019-11-19 07:15:59
00246,AIMD NAS NORTH ISLAN,P9AW7UX,M5,2019-04-29 06:12:59
00246,AIMD NAS NORTH ISLAN,P9AW7UX,IW,2019-11-19 07:20:59
00246,AIMD NAS NORTH ISLAN,P9AW7UX,WS,2019-11-19 07:35:59
00246,AIMD NAS NORTH ISLAN,P9AW7UY,WP,2019-11-19 07:16:59
00246,AIMD NAS NORTH ISLAN,P9AW7UY,M6,2019-11-27 13:10:59
00246,AIMD NAS NORTH ISLAN,P9AW7UY,M3,2019-12-12 07:31:59
00246,AIMD NAS NORTH ISLAN,P9AW7UX,WP,2019-11-19 07:40:59
00246,AIMD NAS NORTH ISLAN,P9AW7UX,M6,2020-03-06 12:03:59
00246,AIMD NAS NORTH ISLAN,P9AYAGZ,A1,2021-02-04 09:48:00
00246,AIMD NAS NORTH ISLAN,P9AYAGZ,M3,2021-02-04 10:10:46.760000
00246,AIMD NAS NORTH ISLAN,P9AYAGZ,IW,2021-03-04 05:40:59
00246,AIMD NAS NORTH ISLAN,P9AYHL5,A1,2021-04-08 07:29:00
00246,AIMD NAS NORTH ISLAN,1YIIAA2,A1,2021-04-12 13:06:00
00246,AIMD NAS NORTH ISLAN,1YIIAA2,M3,2021-04-12 13:06:59
00246,AIMD NAS NORTH ISLAN,1YIIAA2,IW,2021-04-13 06:00:59
00246,AIMD NAS NORTH ISLAN,P9AYHYD,A1,2021-04-13 07:14:59
00246,AIMD NAS NORTH ISLAN,1YIIAA2,M8,2021-04-13 10:30:59
00246,AIMD NAS NORTH ISLAN,1YIIAA2,IW,2021-04-14 07:30:59
