uic,unit,mcn,dscrp,dscrp_2,dscrp_3,dscrp_4,dscrp_5,dscrp_6,int_by
00246,AIMD NAS NORTH ISLAN,00JNUKD,CORROSION AND PLY SEPARATION IN TIP BLOCK/TIP RIB AREA COMPROMISING SECURITY OF THE TIP CAP ATTACHMENT HARDWARE ON BLUE MAIN ROTOR BLADE., , , , , ,SB MENDOZARODRIGUE
00246,AIMD NAS NORTH ISLAN,00JPAGF,"NOMENCLATURE # 2 (R/H) ENGINE ASSEMBLY PART NUMBER 70300-30100-056, SERIAL NUMBER:GE-E-609274, CIN:6203, DISCREPANCY: BROKEN STUDS (2EA). FOR EXHAUST CENTER BODY", , , , , ,AR MARTINEZ
00246,AIMD NAS NORTH ISLAN,00JPCDC,SCIR CHANGES:1TPT6ZT. HDG CUBE APPEARED THAT WOULD NOT CLEAR., , , , , ,MJ PLEASANT
00246,AIMD NAS NORTH ISLAN,00JPO38,"NR/NP FAILS TO DROP OUT BEFORE 110%, RECOMMEND REPLACING OF #1 ENGINE AS PER FST (RUSS) FOR TORQUE ERROR.", , , , , ,AJ WOODS
00246,AIMD NAS NORTH ISLAN,00JPONB,OPEN IN WIRE BETWEEN TERMINALS 11 AND 19 ON MRH SLIPRING., , , , , ,AE3 A CLOUGHERTY
00246,AIMD NAS NORTH ISLAN,00JPPSZ,#1 ENG FAILED MAX POWER CHECKS, , , , , ,A CARYSANCHEZ
00246,AIMD NAS NORTH ISLAN,00JPPTD,#2 ENG FAILED MAX POWER CHECKS, , , , , ,A CARYSANCHEZ
00246,AIMD NAS NORTH ISLAN,00JPYP5,REELING MACHINE HAS NO RESISTANCE ON GEARING CAUSING TRANSDUCER TO FREE FALL WHEN MANUALLY RAISING OR LOWERING., , , , , ,JR DARGUE
00246,AIMD NAS NORTH ISLAN,00JQ379,ECS WEAK ON APU AND WEAKER ON ENGINES. ***UPDATE: ECS ONLY BLOWS HOT UNTIL ECS SHUTS DOWN., , , , , ,AE2 K DONOHOE
00246,AIMD NAS NORTH ISLAN,00JQ3H1,#2 ENGINE FAILED MAX POWER CHECK., , , , , ,AJ WOODS
00246,AIMD NAS NORTH ISLAN,00JQ3O8,SO WINDOW CRACK, , , , , , B WAREING
00246,AIMD NAS NORTH ISLAN,00JQ42I,ICE DETECT FAIL CAUTION DISPLAYED, , , , , ,AE2 C BOWE
00246,AIMD NAS NORTH ISLAN,00JQ6I2,INTERMITTENT FIRE LIGHT ON BOTH SIDES OCCASIONALY WHEN WINDSHIELD WIPER SWITCH WAS BROUGHT TO PARK AND WHEN BACKUP PUMPWAS ENERGIZED, , , , , ,HD TAMPLIN
00246,AIMD NAS NORTH ISLAN,00JQ7JI,RADIO #2 INOP, , , , , ,BL SOMERA
00246,AIMD NAS NORTH ISLAN,00JQ8ZZ,SLIDING DOOR WINDOW CRACKED, , , , , ,JM WARMINGTONHYLTO
00246,AIMD NAS NORTH ISLAN,00JQDGG,"ICE DETECT FAIL. DE-ICE SWITCHES ALL OF, MR PWR AND TR PWR LIGHTS OFF.", , , , , ,AE2 I BURT
00246,AIMD NAS NORTH ISLAN,00JQEDL,STBD STAB FAILED STATIC WICK BONDING CHECKS., , , , , ,SI FERMINJIMENEZ
00246,AIMD NAS NORTH ISLAN,00JQGBF,TAIL ROTOR OUTBOARD RETENTION PLATE HAS DAMAGE LOCATED JUST ON PILOT. DAMAGE UP TO .010 INCH DEEP COVERING LESS THAN 20% OF SURFACE AND OUTSIDE .100 INCH RADIUS CAN BE BLENDED OUT. CURRENT DAMAGE EXCEEDS MAX ALLOWABLE REPAIRABLE LIMIT., , , , , ,CIV V MORATAYA
00246,AIMD NAS NORTH ISLAN,00JQJCS,"PMI DEFICIENCY
RESCUE HOIST RESCUE HOIST CABIN HAND CONTROL P/N 70450-21905-103  SWITCH BUTTON MISSING. (CREW HOVER CONT PANEL)", , , , , ,CIV P VAQEWA
00246,AIMD NAS NORTH ISLAN,00JQL2J,ESM FAIL ON DIAG PAGE. AOP DETECTED (ESM) W1: C000., , , , , ,AT2 K CAIN
00246,AIMD NAS NORTH ISLAN,00JQLS2,DURING MAIN ROTOR ACCUMLATOR BLEED ANDS SERVICE STEP 1.17; OBSRVE BUBBLES IN BLEED LINE INDICATING FAULTY ACCUMLATOR PISTON PACKING, , , , , ,SI FERMINJIMENEZ
00246,AIMD NAS NORTH ISLAN,00JQN0K,STR FAILED IN FLIGHT 370F CODE POPULATED WITHOUT BEING ABLE TO CLEAR, , , , , ,AT1 K MACK
00246,AIMD NAS NORTH ISLAN,00JQNLS,CMDS INOP. DEVICE STATE DATA WORD 4 0100. SSDP DETECTED DATA WORD 4 F000 SHOWING., , , , , ,AT2 D MENDIOLA
00246,AIMD NAS NORTH ISLAN,00JQNX6,"OUTBOARD RETENTION PLATE PILOT BUSHING INSIDE DIAMETER BRONZE SMEARED AT 80%, LIMIT IS NO MORE THAN 70%", , , , , ,JM WARMINGTONHYLTO
00246,AIMD NAS NORTH ISLAN,00JQOBN,"DURING MX DIP, THE SUBMERGED LIGHT DID NOT ILLUMINATE WHILE PASSING THROUGH 27 FEET. CABLE ANGLE DID NOT ENGAGE INITIALLY. ONCE ENGAGED AFTER PRESSING PUSHBUTTON AGAIN, ESD SEQUENCE CODE APPEARED AND DOME STOPPED AT APPROX 140 FEET POCL. TROUBLESHOT AND W", , , , , ,AT1 J BEARDEN
00246,AIMD NAS NORTH ISLAN,00JQPQS,"REMOVE AND REPLACE COMPONENT NOMENCLATURE M81757/14-1 MAIN AIRCRAFT BATTERY (ULM); PART NO: M81757/14-1; SERNO : 37952. BATTERY HI-TIME; AC MAIN BATTERY OVERDUE FOR SERVICING, DD 24290", , , , , ,P OCAMPO
00246,AIMD NAS NORTH ISLAN,00JQQDE,Y CODE DISCREPENCY. ESM RP WILL NOT ACCEPT SOFTWARE., , , , , ,AT2 F CONCEPCION
00246,AIMD NAS NORTH ISLAN,00JQQRN,YELLOW MAIN ROTOR BLADE HAS CORROSION ON THE DUBBLER AND TIP BLOCK.CORROSION IS OUT OF LIMIT, , , , , ,SI FERMINJIMENEZ
00246,AIMD NAS NORTH ISLAN,00JQQRO,BLUE MAIN ROTOR BLADE HAS CORROSION ON THE DUBBLER AND TIP BLOCK. CORROSION IS OUT OF LIMIT, , , , , ,SI FERMINJIMENEZ
