Plugin,Script Name
294972,RHEL 8 / 9 : java-17-openjdk (RHSA-2026:0927)
190517,RHEL 8 / 9 : sudo (RHSA-2024:0811)
255225,RHEL 8 : aide (RHSA-2025:14573)
185682,RHEL 8 : avahi (RHSA-2023:7190)
186930,RHEL 8 : avahi (RHSA-2023:7836)
165645,RHEL 8 : bind (RHSA-2022:6778)
167137,RHEL 8 : bind (RHSA-2022:7790)
175853,RHEL 8 : bind (RHSA-2023:3002)
178333,RHEL 8 : bind (RHSA-2023:4102)
182592,RHEL 8 : bind (RHSA-2023:5474)
185674,RHEL 8 : bind (RHSA-2023:7177)
205775,RHEL 8 : bind (RHSA-2024:5524)
216488,RHEL 8 : bind (RHSA-2025:1675)
274587,RHEL 8 : bind (RHSA-2025:19835)
194408,RHEL 8 : bind and dhcp (RHSA-2024:1782)
197759,RHEL 8 : bind and dhcp (RHSA-2024:3271)
184134,RHEL 8 : binutils (RHSA-2023:6236)
279123,RHEL 8 : binutils (RHSA-2025:23382)
298532,RHEL 8 : brotli (RHSA-2026:2389)
214070,RHEL 8 : Bug fix of NetworkManager (Moderate) (RHSA-2025:0288)
210400,RHEL 8 : bzip2 (RHSA-2024:8922)
216433,RHEL 8 : bzip2 (RHSA-2025:0733)
177299,RHEL 8 : c-ares (RHSA-2023:3584)
185698,RHEL 8 : c-ares (RHSA-2023:7116)
185701,RHEL 8 : c-ares (RHSA-2023:7207)
201288,RHEL 8 : c-ares (RHSA-2024:4249)
200153,RHEL 8 : cockpit (RHSA-2024:3667)
162300,RHEL 8 : cups (RHSA-2022:5056)
180262,RHEL 8 : cups (RHSA-2023:4864)
185651,RHEL 8 : cups (RHSA-2023:7165)
201292,RHEL 8 : cups (RHSA-2024:4265)
213617,RHEL 8 : cups (RHSA-2025:0083)
264560,RHEL 8 : cups (RHSA-2025:15702)
276777,RHEL 8 : cups (RHSA-2025:22063)
284505,RHEL 8 : cups (RHSA-2026:0596)
176727,RHEL 8 : cups-filters (RHSA-2023:3425)
208003,RHEL 8 : cups-filters (RHSA-2024:7463)
162633,RHEL 8 : curl (RHSA-2022:5313)
164389,RHEL 8 : curl (RHSA-2022:6159)
172374,RHEL 8 : curl (RHSA-2023:1140)
175857,RHEL 8 : curl (RHSA-2023:2963)
175908,RHEL 8 : curl (RHSA-2023:3106)
179455,RHEL 8 : curl (RHSA-2023:4523)
192856,RHEL 8 : curl (RHSA-2024:1601)
205888,RHEL 8 : curl (RHSA-2024:5654)
279120,RHEL 8 : curl (RHSA-2025:23383)
169967,RHEL 8 : dbus (RHSA-2023:0096)
179398,RHEL 8 : dbus (RHSA-2023:4498)
175826,RHEL 8 : device-mapper-multipath (RHSA-2023:2948)
181633,RHEL 8 : dmidecode (RHSA-2023:5252)
167141,RHEL 8 : e2fsprogs (RHSA-2022:7720)
174691,RHEL 8 : emacs (RHSA-2023:1930)
175844,RHEL 8 : emacs (RHSA-2023:3042)
175880,RHEL 8 : emacs (RHSA-2023:3104)
185669,RHEL 8 : emacs (RHSA-2023:7083)
207690,RHEL 8 : emacs (RHSA-2024:6987)
242106,RHEL 8 : emacs (RHSA-2025:11030)
216905,RHEL 8 : emacs (RHSA-2025:1917)
162630,RHEL 8 : expat (RHSA-2022:5314)
166019,RHEL 8 : expat (RHSA-2022:6878)
169957,RHEL 8 : expat (RHSA-2023:0103)
192871,RHEL 8 : expat (RHSA-2024:1615)
207691,RHEL 8 : expat (RHSA-2024:6989)
210886,RHEL 8 : expat (RHSA-2024:9502)
275813,RHEL 8 : expat (RHSA-2025:21776)
234829,RHEL 8 : expat (RHSA-2025:3913)
167139,RHEL 8 : freetype (RHSA-2022:7745)
233678,RHEL 8 : freetype (RHSA-2025:3421)
